date,sh_SWE_mm,sh_SWE_qc,sh_SWE_qa,sh_snowdepth_cm,sh_snowdepth_qc,sh_snowdepth_qa,sh_precip_mm,sh_precip_qc,sh_precip_qa,sh_temp_C,sh_temp_qc,sh_temp_qa,sh_sm2_pct,sh_sm2_qc,sh_sm2_qa,sh_sm8_pct,sh_sm8_qc,sh_sm8_qa,sh_sm20_pct,sh_sm20_qc,sh_sm20_qa,sh_st2_C,sh_st2_qc,sh_st2_qa,sh_st8_C,sh_st8_qc,sh_st8_qa,sh_st20_C,sh_st20_qc,sh_st20_qa,stationid
2018-10-01 00:00:00,0.0,V,P,0.0,E,P,0.0,V,P,9.791790112,E,F,0.0,V,A,0.0,V,A,3.4,V,A,18.1,V,A,16.9,V,A,15.7,V,A,428
2018-10-01 01:00:00,0.0,V,P,0.0,E,P,0.0,V,P,9.347987353,E,F,0.0,V,A,0.0,V,A,3.2,V,A,17.8,V,A,16.9,V,A,15.7,V,A,428
2018-10-01 02:00:00,0.0,V,P,0.0,V,P,0.0,V,P,8.682228756,E,F,0.0,V,A,0.0,V,A,2.8,V,A,17.6,V,A,16.9,V,A,15.7,V,A,428
2018-10-01 03:00:00,0.0,V,P,0.0,V,P,0.0,V,P,8.127479426,E,F,0.0,V,A,0.0,V,A,3.3,V,A,17.4,V,A,16.9,V,A,15.7,V,A,428
2018-10-01 04:00:00,0.0,V,P,0.0,E,P,0.0,V,P,8.127479426,E,F,0.0,V,A,0.0,V,A,3.2,V,A,17.2,V,A,16.9,V,A,15.7,V,A,428
2018-10-01 05:00:00,0.0,E,P,0.0,E,P,0.0,V,P,8.460317815,E,F,0.0,V,A,0.0,V,A,3.2,V,A,16.9,V,A,16.9,V,A,15.7,V,A,428
2018-10-01 06:00:00,0.0,V,P,0.0,E,P,0.0,V,P,8.016543683,E,F,0.0,V,A,0.0,V,A,3.4,V,A,16.7,V,A,16.8,V,A,15.7,V,A,428
2018-10-01 07:00:00,0.0,V,P,0.0,V,P,0.0,V,P,9.237029124,E,F,0.0,V,A,0.0,V,A,3.4,V,A,16.5,V,A,16.8,V,A,15.7,V,A,428
2018-10-01 08:00:00,0.0,E,P,0.0,E,P,0.0,V,P,10.12459047,E,F,0.0,V,A,0.0,V,A,3.4,V,A,16.3,V,A,16.7,V,A,15.7,V,A,428
2018-10-01 09:00:00,0.0,E,P,0.0,E,P,0.0,V,P,11.78722831,E,F,0.0,V,A,0.0,V,A,3.2,V,A,16.2,V,A,16.6,V,A,15.7,V,A,428
2018-10-01 10:00:00,0.0,E,P,0.0,E,P,0.0,E,P,12.78304907,E,F,0.0,V,A,0.0,V,A,3.2,V,A,16.1,V,A,16.6,V,A,15.7,V,A,428
2018-10-01 11:00:00,0.0,E,P,0.0,E,P,0.0,E,P,14.32812398,E,F,0.0,V,A,0.0,V,A,3.2,V,A,16.1,V,A,16.5,V,A,15.7,V,A,428
2018-10-01 12:00:00,0.0,E,P,0.0,E,P,0.0,E,P,15.53773926,E,F,0.0,V,A,0.0,V,A,3.3,V,A,16.3,V,A,16.5,V,A,15.7,V,A,428
2018-10-01 13:00:00,0.0,E,P,0.0,E,P,0.0,E,P,15.86685087,E,F,0.0,V,A,0.0,V,A,3.4,V,A,16.5,V,A,16.4,V,A,15.7,V,A,428
2018-10-01 14:00:00,0.0,V,P,0.0,E,P,0.0,E,P,16.19559821,E,F,0.0,V,A,0.0,V,A,3.3,V,A,17.0,V,A,16.4,V,A,15.7,V,A,428
2018-10-01 15:00:00,0.0,E,P,0.0,E,P,0.0,V,P,15.97647451,E,F,0.0,V,A,0.0,V,A,2.9,V,A,17.7,V,A,16.4,V,A,15.7,V,A,428
2018-10-01 16:00:00,0.0,E,P,0.0,E,P,0.0,V,P,14.32812398,E,F,0.0,V,A,0.0,V,A,3.0,V,A,18.3,V,A,16.4,V,A,15.7,V,A,428
2018-10-01 17:00:00,0.0,E,P,0.0,E,P,0.0,V,P,12.3406703,E,F,0.0,V,A,0.0,V,A,3.0,V,A,18.7,V,A,16.4,V,A,15.7,V,A,428
2018-10-01 18:00:00,0.0,E,P,0.0,E,P,0.0,V,P,11.45494534,E,F,0.0,V,A,0.0,V,A,3.4,V,A,19.0,V,A,16.5,V,A,15.6,V,A,428
2018-10-01 19:00:00,0.0,V,P,0.0,E,P,0.0,V,P,11.01168532,E,F,0.0,V,A,0.0,V,A,3.0,V,A,19.0,V,A,16.5,V,A,15.7,V,A,428
2018-10-01 20:00:00,0.0,V,P,0.0,E,P,0.0,E,P,12.23002134,E,F,0.0,V,A,0.0,V,A,3.0,V,A,18.9,V,A,16.6,V,A,15.6,V,A,428
2018-10-01 21:00:00,0.0,V,P,0.0,E,P,0.0,V,P,11.8979548,E,F,0.0,V,A,0.0,V,A,3.1,V,A,18.7,V,A,16.7,V,A,15.6,V,A,428
2018-10-01 22:00:00,0.0,V,P,0.0,E,P,0.0,V,P,12.11935199,E,F,0.0,V,A,0.0,V,A,3.1,V,A,18.5,V,A,16.8,V,A,15.6,V,A,428
