date,sh_SWE_mm,sh_SWE_qc,sh_SWE_qa,sh_snowdepth_cm,sh_snowdepth_qc,sh_snowdepth_qa,sh_precip_mm,sh_precip_qc,sh_precip_qa,sh_temp_C,sh_temp_qc,sh_temp_qa,sh_sm2_pct,sh_sm2_qc,sh_sm2_qa,sh_sm8_pct,sh_sm8_qc,sh_sm8_qa,sh_sm20_pct,sh_sm20_qc,sh_sm20_qa,sh_st2_C,sh_st2_qc,sh_st2_qa,sh_st8_C,sh_st8_qc,sh_st8_qa,sh_st20_C,sh_st20_qc,sh_st20_qa,stationid
2006-10-01 00:00:00,0.0,E,P,0.0,E,P,0.0,V,F,9.680845381,E,F,0.0,V,A,0.0,V,A,2.8,V,A,16.0,V,A,16.1,V,A,14.2,V,A,428
2006-10-01 01:00:00,0.0,E,P,0.0,V,P,0.0,V,F,9.458943284,E,F,0.0,V,A,0.0,V,A,2.9,V,A,15.4,V,A,16.0,V,A,14.2,V,A,428
2006-10-01 02:00:00,0.0,E,P,0.0,E,P,0.0,V,F,9.791790112,E,F,0.0,V,A,0.0,V,A,2.6,V,A,14.8,V,A,16.0,V,A,14.2,V,A,428
2006-10-01 03:00:00,0.0,E,P,0.0,E,P,0.0,V,F,9.237029124,E,F,0.0,V,A,0.0,V,A,2.6,V,A,14.4,V,A,16.0,V,A,14.2,V,A,428
2006-10-01 04:00:00,0.0,E,P,0.0,E,P,0.0,V,F,8.793187649,E,F,0.0,V,A,0.0,V,A,2.6,V,A,13.9,V,A,15.9,V,A,14.2,V,A,428
2006-10-01 05:00:00,0.0,E,P,0.0,V,P,0.0,E,F,7.905614351,E,F,0.0,V,A,0.0,V,A,2.7,V,A,13.5,V,A,15.8,V,A,14.2,V,A,428
2006-10-01 06:00:00,0.0,E,P,0.0,V,P,0.0,E,F,8.127479426,E,F,0.0,V,A,0.0,V,A,2.5,V,A,13.1,V,A,15.8,V,A,14.2,V,A,428
2006-10-01 07:00:00,0.0,E,P,0.0,V,P,0.0,E,F,5.468271486,E,F,0.0,V,A,0.0,V,A,2.6,V,A,12.6,V,A,15.7,V,A,14.2,V,A,428
2006-10-01 08:00:00,0.0,E,P,0.0,E,P,0.0,E,F,10.78997511,E,F,0.0,V,A,0.0,V,A,3.0,V,A,12.2,V,A,15.6,V,A,14.2,V,A,428
2006-10-01 09:00:00,0.0,E,P,0.0,E,P,0.0,E,F,12.78304907,E,F,0.0,V,A,0.0,V,A,2.7,V,A,12.3,V,A,15.5,V,A,14.2,V,A,428
2006-10-01 10:00:00,0.0,E,P,0.0,E,P,0.0,E,F,14.43826307,E,F,0.0,V,A,0.0,V,A,3.0,V,A,14.2,V,A,15.4,V,A,14.2,V,A,428
2006-10-01 11:00:00,0.0,E,P,0.0,E,P,0.0,V,F,14.98845093,E,F,0.0,V,A,0.0,V,A,2.7,V,A,17.0,V,A,15.3,V,A,14.2,V,A,428
2006-10-01 12:00:00,0.0,E,P,0.0,E,P,0.0,E,F,15.64748269,E,F,0.0,V,A,0.0,V,A,2.5,V,A,18.8,V,A,15.2,V,A,14.2,V,A,428
