date,sh_SWE_mm,sh_SWE_qc,sh_SWE_qa,sh_snowdepth_cm,sh_snowdepth_qc,sh_snowdepth_qa,sh_precip_mm,sh_precip_qc,sh_precip_qa,sh_temp_C,sh_temp_qc,sh_temp_qa,sh_sm2_pct,sh_sm2_qc,sh_sm2_qa,sh_sm8_pct,sh_sm8_qc,sh_sm8_qa,sh_sm20_pct,sh_sm20_qc,sh_sm20_qa,sh_st2_C,sh_st2_qc,sh_st2_qa,sh_st8_C,sh_st8_qc,sh_st8_qa,sh_st20_C,sh_st20_qc,sh_st20_qa,stationid
2005-10-01 00:00:00,0.0,E,P,0.0,E,A,0.0,E,P,8.6,E,F,0.0,V,A,11.7,V,A,8.2,V,A,7.0,V,A,7.0,V,A,6.0,V,A,356
2005-10-01 01:00:00,0.0,E,P,0.0,E,A,0.0,E,P,7.4,E,F,0.0,V,A,11.4,V,A,8.4,V,A,7.0,V,A,7.0,V,A,6.0,V,A,356
2005-10-01 02:00:00,0.0,E,P,0.0,E,A,0.0,V,P,8.3,E,F,0.0,V,A,11.5,V,A,8.2,V,A,7.0,V,A,7.0,V,A,6.0,V,A,356
2005-10-01 03:00:00,0.0,E,P,0.0,E,A,0.0,V,P,7.4,E,F,0.0,V,A,11.4,V,A,8.4,V,A,7.0,V,A,7.0,V,A,6.0,V,A,356
2005-10-01 04:00:00,0.0,E,P,0.0,E,A,0.0,E,P,8.1,E,F,0.0,V,A,11.4,V,A,8.3,V,A,7.0,V,A,7.0,V,A,6.0,V,A,356
2005-10-01 05:00:00,0.0,E,P,0.0,E,A,0.0,V,P,7.5,E,F,0.0,V,A,11.2,V,A,8.3,V,A,7.0,V,A,7.0,V,A,6.0,V,A,356
2005-10-01 06:00:00,0.0,E,P,0.0,E,A,0.0,E,P,8.5,E,F,0.0,V,A,11.2,V,A,8.2,V,A,6.0,V,A,7.0,V,A,6.0,V,A,356
2005-10-01 07:00:00,0.0,E,P,0.0,E,A,0.0,E,P,10.0,E,F,0.0,V,A,11.0,V,A,8.2,V,A,6.0,V,A,6.0,V,A,6.0,V,A,356
2005-10-01 08:00:00,0.0,E,P,0.0,E,A,0.0,V,P,10.0,E,F,0.0,V,A,11.1,V,A,8.3,V,A,6.0,V,A,6.0,V,A,6.0,V,A,356
2005-10-01 09:00:00,0.0,E,P,0.0,E,A,0.0,V,P,10.8,E,F,0.0,V,A,11.1,V,A,8.2,V,A,6.0,V,A,6.0,V,A,6.0,V,A,356
2005-10-01 10:00:00,0.0,E,P,0.0,E,A,0.0,E,P,13.0,E,F,0.0,V,A,10.8,V,A,8.3,V,A,6.0,V,A,6.0,V,A,6.0,V,A,356
2005-10-01 11:00:00,0.0,E,P,0.0,E,A,0.0,E,P,14.4,E,F,0.0,V,A,10.9,V,A,8.2,V,A,7.0,V,A,6.0,V,A,6.0,V,A,356
2005-10-01 12:00:00,0.0,V,P,0.0,E,A,0.0,E,P,15.0,E,F,0.0,V,A,10.8,V,A,8.1,V,A,7.0,V,A,6.0,V,A,6.0,V,A,356
2005-10-01 13:00:00,0.0,V,P,0.0,E,A,0.0,E,P,14.3,E,F,0.0,V,A,10.8,V,A,8.0,V,A,7.0,V,A,6.0,V,A,6.0,V,A,356
2005-10-01 14:00:00,0.0,E,P,0.0,E,A,0.0,E,P,12.9,E,F,0.0,V,A,10.5,V,A,7.8,V,A,7.0,V,A,6.0,V,A,6.0,V,A,356
2005-10-01 15:00:00,0.0,E,P,0.0,E,A,0.0,E,P,12.2,E,F,0.0,V,A,10.4,V,A,7.8,V,A,7.0,V,A,6.0,V,A,6.0,V,A,356
2005-10-01 16:00:00,0.0,E,P,0.0,E,A,0.0,V,P,10.5,E,F,0.0,V,A,10.3,V,A,7.7,V,A,7.0,V,A,6.0,V,A,6.0,V,A,356
2005-10-01 17:00:00,0.0,E,P,0.0,E,A,0.0,E,P,8.3,E,F,0.0,V,A,10.2,V,A,7.9,V,A,8.0,V,A,7.0,V,A,6.0,V,A,356
2005-10-01 18:00:00,0.0,E,P,0.0,E,A,0.0,V,P,7.1,E,F,0.0,V,A,10.2,V,A,7.8,V,A,7.0,V,A,7.0,V,A,6.0,V,A,356
2005-10-01 19:00:00,0.0,E,P,0.0,E,A,0.0,V,P,7.0,E,F,0.0,V,A,9.9,V,A,7.9,V,A,7.0,V,A,7.0,V,A,6.0,V,A,356
2005-10-01 20:00:00,0.0,E,P,0.0,E,A,0.0,V,P,6.8,E,F,0.0,V,A,9.9,V,A,7.8,V,A,7.0,V,A,7.0,V,A,6.0,V,A,356
2005-10-01 21:00:00,0.0,E,P,0.0,E,A,0.0,V,P,7.0,E,F,0.0,V,A,9.9,V,A,7.7,V,A,7.0,V,A,7.0,V,A,6.0,V,A,356
2005-10-01 22:00:00,0.0,E,P,0.0,E,A,0.0,V,P,6.7,E,F,0.0,V,A,9.7,V,A,7.5,V,A,7.0,V,A,7.0,V,A,6.0,V,A,356
2005-10-01 23:00:00,0.0,E,P,0.0,E,A,0.0,V,P,6.6,E,F,0.0,V,A,9.6,V,A,7.6,V,A,7.0,V,A,7.0,V,A,6.0,V,A,356
