date,sh_SWE_mm,sh_SWE_qc,sh_SWE_qa,sh_snowdepth_cm,sh_snowdepth_qc,sh_snowdepth_qa,sh_precip_mm,sh_precip_qc,sh_precip_qa,sh_temp_C,sh_temp_qc,sh_temp_qa,sh_sm2_pct,sh_sm2_qc,sh_sm2_qa,sh_sm8_pct,sh_sm8_qc,sh_sm8_qa,sh_sm20_pct,sh_sm20_qc,sh_sm20_qa,sh_st2_C,sh_st2_qc,sh_st2_qa,sh_st8_C,sh_st8_qc,sh_st8_qa,sh_st20_C,sh_st20_qc,sh_st20_qa,stationid
2021-10-01 00:00:00,0.0,E,P,0.0,E,F,0.0,E,P,2.4,E,F,0.0,V,A,2.6,V,A,1.4,V,A,8.0,V,A,8.0,V,A,9.0,V,A,356
2021-10-01 01:00:00,0.0,V,P,0.0,V,F,0.0,V,P,2.1,E,F,0.0,V,A,2.5,V,A,1.2,V,A,8.0,V,A,8.0,V,A,9.0,V,A,356
2021-10-01 02:00:00,0.0,V,P,0.0,V,F,0.0,V,P,2.3,E,F,0.0,V,A,2.6,V,A,1.2,V,A,8.0,V,A,8.0,V,A,9.0,V,A,356
2021-10-01 03:00:00,0.0,V,P,0.0,V,F,0.0,V,P,1.6,E,F,0.0,V,A,2.8,V,A,1.1,V,A,8.0,V,A,8.0,V,A,9.0,V,A,356
2021-10-01 04:00:00,0.0,V,P,0.0,V,F,0.0,V,P,1.6,E,F,0.0,V,A,2.6,V,A,1.2,V,A,8.0,V,A,8.0,V,A,9.0,V,A,356
2021-10-01 05:00:00,0.0,V,P,0.0,V,F,0.0,V,P,1.4,E,F,0.0,V,A,2.7,V,A,1.0,V,A,8.0,V,A,8.0,V,A,8.0,V,A,356
2021-10-01 06:00:00,0.0,V,P,0.0,V,F,0.0,V,P,1.5,E,F,0.0,V,A,2.7,V,A,1.3,V,A,8.0,V,A,8.0,V,A,8.0,V,A,356
2021-10-01 07:00:00,0.0,V,P,0.0,V,F,0.0,V,P,2.7,E,F,0.0,V,A,2.7,V,A,1.2,V,A,8.0,V,A,8.0,V,A,8.0,V,A,356
2021-10-01 08:00:00,0.0,V,P,0.0,V,F,0.0,V,P,9.0,E,F,0.0,V,A,2.7,V,A,1.1,V,A,7.0,V,A,8.0,V,A,8.0,V,A,356
2021-10-01 09:00:00,0.0,V,P,0.0,V,F,0.0,V,P,12.3,E,F,0.0,V,A,2.5,V,A,1.0,V,A,7.0,V,A,8.0,V,A,8.0,V,A,356
2021-10-01 10:00:00,0.0,V,P,0.0,V,F,0.0,S,P,13.9,E,F,0.0,V,A,2.5,V,A,1.1,V,A,7.0,V,A,8.0,V,A,8.0,V,A,356
2021-10-01 11:00:00,0.0,V,P,0.0,V,F,0.0,V,P,16.3,E,F,0.0,V,A,2.5,V,A,1.1,V,A,7.0,V,A,8.0,V,A,8.0,V,A,356
