date,sh_SWE_mm,sh_SWE_qc,sh_SWE_qa,sh_snowdepth_cm,sh_snowdepth_qc,sh_snowdepth_qa,sh_precip_mm,sh_precip_qc,sh_precip_qa,sh_temp_C,sh_temp_qc,sh_temp_qa,sh_sm2_pct,sh_sm2_qc,sh_sm2_qa,sh_sm8_pct,sh_sm8_qc,sh_sm8_qa,sh_sm20_pct,sh_sm20_qc,sh_sm20_qa,sh_st2_C,sh_st2_qc,sh_st2_qa,sh_st8_C,sh_st8_qc,sh_st8_qa,sh_st20_C,sh_st20_qc,sh_st20_qa,stationid
2012-10-01 00:00:00,0.0,E,P,0.0,V,P,0.0,S,F,10.45732516,E,F,,,A,,,A,1.4,E,A,,,A,,,A,,,A,428
2012-10-01 01:00:00,0.0,E,P,0.0,E,P,0.0,S,F,10.34642207,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 02:00:00,0.0,E,P,0.0,E,P,0.0,S,F,10.45732516,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 03:00:00,0.0,E,P,0.0,V,P,0.0,S,F,10.45732516,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 04:00:00,0.0,E,P,0.0,E,P,0.0,S,F,10.34642207,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 05:00:00,0.0,E,P,0.0,E,P,0.0,S,F,9.791790112,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 06:00:00,0.0,E,P,0.0,E,P,0.0,S,F,9.347987353,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 07:00:00,0.0,E,P,0.0,V,P,0.0,S,F,10.12459047,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 08:00:00,0.0,E,P,0.0,E,P,0.0,S,F,15.64748269,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 09:00:00,0.0,E,P,0.0,E,P,0.0,S,F,19.89174947,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 10:00:00,0.0,E,P,0.0,E,P,0.0,S,F,22.03615059,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 11:00:00,0.0,E,P,0.0,E,P,0.0,S,F,24.15532617,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 12:00:00,0.0,E,P,0.0,E,P,0.0,E,F,25.93565867,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 13:00:00,0.0,E,P,0.0,E,P,0.0,E,F,25.93565867,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 14:00:00,0.0,E,P,0.0,E,P,0.0,E,F,24.99557031,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 15:00:00,0.0,E,P,0.0,E,P,0.0,V,F,24.89077612,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 16:00:00,0.0,E,P,0.0,E,P,0.0,V,F,24.4709231,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 17:00:00,0.0,E,P,0.0,E,P,0.0,E,F,22.99301126,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 18:00:00,0.0,E,P,0.0,V,P,0.0,V,F,19.99953528,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 19:00:00,0.0,E,P,0.0,E,P,0.0,V,F,15.86685087,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 20:00:00,0.0,E,P,0.0,E,P,0.0,V,F,13.99751442,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 21:00:00,0.0,E,P,0.0,E,P,0.0,V,F,12.78304907,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 22:00:00,0.0,E,P,0.0,E,P,0.0,V,F,12.11935199,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-01 23:00:00,0.0,E,P,0.0,V,P,0.0,V,F,11.45494534,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-02 00:00:00,0.0,E,P,0.0,E,P,0.0,V,F,10.67910238,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-02 01:00:00,0.0,E,P,0.0,E,P,0.0,V,F,10.34642207,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-02 02:00:00,0.0,E,P,0.0,E,P,0.0,V,F,10.23551028,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-02 03:00:00,0.0,E,P,0.0,E,P,0.0,V,F,9.90272968,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-02 04:00:00,0.0,E,P,0.0,E,P,0.0,V,F,9.680845381,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-02 05:00:00,0.0,E,P,0.0,E,P,0.0,E,F,9.458943284,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-02 06:00:00,0.0,E,P,0.0,E,P,0.0,E,F,9.126069317,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-02 07:00:00,0.0,E,P,0.0,E,P,0.0,E,F,9.569896199,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-02 08:00:00,0.0,E,P,0.0,E,P,0.0,E,F,13.33548511,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-02 09:00:00,0.0,E,P,0.0,E,P,0.0,V,F,21.07416937,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-02 10:00:00,0.0,E,P,0.0,E,P,0.0,V,F,22.56838302,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
2012-10-02 11:00:00,0.0,E,P,0.0,E,P,0.0,E,F,23.0990058,E,F,,,A,,,A,0.0,V,A,,,A,,,A,,,A,428
