date,sh_SWE_mm,sh_SWE_qc,sh_SWE_qa,sh_snowdepth_cm,sh_snowdepth_qc,sh_snowdepth_qa,sh_precip_mm,sh_precip_qc,sh_precip_qa,sh_temp_C,sh_temp_qc,sh_temp_qa,sh_sm2_pct,sh_sm2_qc,sh_sm2_qa,sh_sm8_pct,sh_sm8_qc,sh_sm8_qa,sh_sm20_pct,sh_sm20_qc,sh_sm20_qa,sh_st2_C,sh_st2_qc,sh_st2_qa,sh_st8_C,sh_st8_qc,sh_st8_qa,sh_st20_C,sh_st20_qc,sh_st20_qa,stationid
2015-10-01 00:00:00,0.0,E,P,0.0,V,P,0.0,V,P,8.238420848,E,F,0.0,V,A,0.0,V,A,5.6,V,A,15.5,V,A,16.1,V,A,15.1,V,A,428
2015-10-01 01:00:00,0.0,E,P,0.0,V,P,3.0,V,P,7.905614351,E,F,0.0,V,A,0.0,V,A,6.1,V,A,15.4,V,A,16.1,V,A,15.1,V,A,428
2015-10-01 02:00:00,0.0,V,P,0.0,V,P,3.0,V,P,7.683777837,E,F,0.0,V,A,0.4,V,A,6.3,V,A,15.3,V,A,16.1,V,A,15.1,V,A,428
2015-10-01 03:00:00,0.0,V,P,0.0,V,P,3.0,V,P,7.905614351,E,F,0.0,V,A,0.0,V,A,5.6,V,A,15.3,V,A,16.0,V,A,15.0,V,A,428
2015-10-01 04:00:00,0.0,E,P,0.0,V,P,3.0,V,P,7.905614351,E,F,0.0,V,A,0.6,V,A,6.2,V,A,15.1,V,A,16.0,V,A,15.0,V,A,428
2015-10-01 05:00:00,0.0,E,P,0.0,V,P,5.0,V,P,7.572872119,E,F,0.0,V,A,0.4,V,A,5.9,V,A,15.1,V,A,15.9,V,A,15.0,V,A,428
2015-10-01 06:00:00,0.0,V,P,0.0,V,P,5.0,V,P,7.461975735,E,F,0.0,V,A,0.8,V,A,6.2,V,A,15.0,V,A,15.9,V,A,15.0,V,A,428
2015-10-01 07:00:00,0.0,E,P,0.0,V,P,13.0,V,P,7.129349912,E,F,0.3,V,A,0.5,V,A,6.0,V,A,13.3,V,A,15.9,V,A,15.0,V,A,428
2015-10-01 08:00:00,0.0,V,P,0.0,V,P,18.0,V,P,7.240213899,E,F,0.5,V,A,0.4,V,A,6.1,V,A,12.2,V,A,15.7,V,A,15.0,V,A,428
2015-10-01 09:00:00,0.0,E,P,0.0,V,P,20.0,V,P,7.240213899,E,F,1.0,V,A,0.3,V,A,5.8,V,A,11.9,V,A,15.4,V,A,15.0,V,A,428
2015-10-01 10:00:00,0.0,V,P,0.0,V,P,28.0,V,P,7.018498188,E,F,1.0,V,A,0.3,V,A,5.9,V,A,11.4,V,A,15.1,V,A,15.0,V,A,428
2015-10-01 11:00:00,0.0,V,P,0.0,E,P,30.0,V,P,6.353686388,E,F,1.0,V,A,1.5,V,A,6.0,V,A,11.6,E,A,14.8,V,A,15.0,V,A,428
2015-10-01 12:00:00,0.0,V,P,0.0,V,P,30.0,V,P,7.794692158,E,F,0.0,V,A,2.0,V,A,6.4,V,A,11.3,V,A,14.6,V,A,15.0,V,A,428
2015-10-01 13:00:00,0.0,V,P,0.0,E,P,30.0,V,P,7.794692158,E,F,0.0,V,A,2.5,V,A,6.0,V,A,11.7,V,A,14.5,V,A,15.0,V,A,428
2015-10-01 14:00:00,0.0,E,P,0.0,V,P,30.0,V,P,6.90765946,E,F,0.0,V,A,3.9,V,A,6.5,V,A,12.0,V,A,14.4,V,A,14.9,V,A,428
2015-10-01 15:00:00,0.0,V,P,0.0,V,P,33.0,E,P,5.910816496,E,F,1.6,V,A,4.5,V,A,6.2,V,A,11.5,V,A,14.4,V,A,14.9,V,A,428
2015-10-01 16:00:00,0.0,V,P,0.0,E,P,36.0,V,P,6.132213747,E,F,0.0,V,A,5.1,V,A,6.4,V,A,11.6,V,A,14.2,V,A,14.9,V,A,428
2015-10-01 17:00:00,0.0,V,P,0.0,V,P,36.0,V,P,6.242941009,E,F,0.0,V,A,5.5,V,A,6.6,V,A,11.9,V,A,14.1,V,A,14.8,V,A,428
2015-10-01 18:00:00,0.0,V,P,0.0,V,P,36.0,E,P,6.132213747,E,F,0.0,V,A,5.2,V,A,6.1,V,A,12.0,V,A,14.1,V,A,14.8,V,A,428
2015-10-01 19:00:00,0.0,V,P,0.0,V,P,37.0,E,P,5.910816496,E,F,0.0,V,A,6.0,V,A,6.9,V,A,12.1,V,A,14.0,V,A,14.8,V,A,428
2015-10-01 20:00:00,0.0,V,P,0.0,E,P,38.0,E,P,5.689500469,E,F,0.0,V,A,5.7,V,A,7.6,V,A,12.1,V,A,13.9,V,A,14.8,V,A,428
2015-10-01 21:00:00,0.0,V,P,0.0,E,P,38.0,V,P,5.689500469,E,F,0.0,V,A,6.1,V,A,7.6,V,A,12.2,V,A,13.9,V,A,14.8,V,A,428
2015-10-01 22:00:00,0.0,V,P,0.0,E,P,38.0,V,P,5.468271486,E,F,0.0,V,A,6.3,V,A,9.0,V,A,12.2,V,A,13.9,V,A,14.7,V,A,428
2015-10-01 23:00:00,0.0,V,P,0.0,E,P,38.0,V,P,4.805164804,E,F,0.0,V,A,6.9,V,A,8.8,V,A,12.1,V,A,13.9,V,A,14.7,V,A,428
2015-10-02 00:00:00,0.0,V,P,0.0,E,P,38.0,V,P,4.032804253,E,F,0.0,V,A,6.1,V,A,8.7,V,A,12.1,V,A,13.8,V,A,14.7,V,A,428
2015-10-02 01:00:00,0.0,V,P,0.0,E,P,38.0,V,P,4.143049556,E,F,0.0,V,A,5.9,V,A,9.3,V,A,12.1,V,A,13.8,V,A,14.7,V,A,428
2015-10-02 02:00:00,0.0,V,P,0.0,E,P,38.0,V,P,4.473973574,E,F,0.0,V,A,6.2,V,A,9.6,V,A,12.0,V,A,13.7,V,A,14.7,V,A,428
2015-10-02 03:00:00,0.0,V,P,0.0,E,P,38.0,V,P,3.372040245,E,F,0.0,V,A,6.5,V,A,9.6,V,A,11.9,V,A,13.7,V,A,14.7,V,A,428
2015-10-02 04:00:00,0.0,V,P,0.0,E,P,38.0,V,P,2.82240733,E,F,0.0,V,A,6.5,V,A,10.4,V,A,11.9,V,A,13.7,V,A,14.7,V,A,428
2015-10-02 05:00:00,0.0,V,P,0.0,V,P,38.0,V,P,3.482079807,E,F,0.0,V,A,6.3,V,A,10.7,V,A,11.8,V,A,13.7,V,A,14.6,V,A,428
2015-10-02 06:00:00,0.0,V,P,0.0,V,P,38.0,V,P,3.042144755,E,F,0.0,V,A,6.2,V,A,10.4,V,A,11.7,V,A,13.6,V,A,14.6,V,A,428
2015-10-02 07:00:00,0.0,V,P,0.0,E,P,38.0,E,P,4.915617925,E,F,0.0,V,A,6.3,V,A,10.7,V,A,11.6,V,A,13.6,V,A,14.6,V,A,428
2015-10-02 08:00:00,0.0,E,P,0.0,E,P,38.0,V,P,6.575228576,E,F,0.0,V,A,6.8,V,A,10.4,V,A,11.5,V,A,13.5,V,A,14.6,V,A,428
2015-10-02 09:00:00,0.0,E,P,0.0,E,P,38.0,E,P,8.571271903,E,F,0.0,V,A,6.3,V,A,11.0,V,A,11.4,V,A,13.5,V,A,14.6,V,A,428
2015-10-02 10:00:00,0.0,E,P,0.0,E,P,38.0,E,P,10.90083632,E,F,0.0,V,A,6.4,V,A,10.9,V,A,11.3,V,A,13.4,V,A,14.5,V,A,428
2015-10-02 11:00:00,0.0,E,P,0.0,E,P,38.0,E,P,13.33548511,E,F,0.0,V,A,6.6,V,A,11.0,V,A,11.4,V,A,13.3,V,A,14.5,V,A,428
2015-10-02 12:00:00,0.0,E,P,0.0,E,P,38.0,E,P,13.88724916,E,F,0.0,V,A,6.7,V,A,10.6,V,A,11.8,V,A,13.3,V,A,14.5,V,A,428
2015-10-02 13:00:00,0.0,E,P,0.0,E,P,38.0,E,P,15.20827823,E,F,0.0,V,A,6.3,V,A,11.2,V,A,12.3,V,A,13.3,V,A,14.5,V,A,428
2015-10-02 14:00:00,0.0,V,P,0.0,E,P,38.0,E,P,15.09838286,E,F,0.0,V,A,5.9,V,A,11.1,V,A,12.9,V,A,13.3,V,A,14.5,V,A,428
